erbärmlich	wretched	»Erbärmlich«, kommentierte Fred den Wurf.	[sound:erbärmlich.ogg.mp3]
staubig	dusty	Sein langer grüner Umhang war staubig und verschlissen.	[sound:staubig.ogg.mp3]
verschlissen	worn out	Sein langer grüner Umhang war staubig und verschlissen.	[sound:verschlissen.ogg.mp3]
beißend	biting	»Nichts außer ein paar schrumpfenden Schlüsseln und einem beißenden Kessel«, gähnte Mr Weasley.	[sound:beißend.ogg.mp3]
zuständig	appropriate	»Außerdem noch einige recht üble Sachen, für die wir allerdings nicht zuständig sind.	[sound:zuständig.ogg.mp3]
das Frettchen	ferret	Mortlake haben sie wegen ein paar äußerst merkwürdiger Frettchen zum Verhör mitgenommen, aber das fällt nicht in meine Abteilung, Gott sei Dank«– »Warum sollte sich jemand die Mühe machen, Türschlüssel schrumpfen zu lassen?«, fragte George.	[sound:das Frettchen.ogg.mp3]
das Verhör	interrogation	Mortlake haben sie wegen ein paar äußerst merkwürdiger Frettchen zum Verhör mitgenommen, aber das fällt nicht in meine Abteilung, Gott sei Dank«– »Warum sollte sich jemand die Mühe machen, Türschlüssel schrumpfen zu lassen?«, fragte George.	[sound:das Verhör.ogg.mp3]
schrumpfen	shrink	Mortlake haben sie wegen ein paar äußerst merkwürdiger Frettchen zum Verhör mitgenommen, aber das fällt nicht in meine Abteilung, Gott sei Dank«– »Warum sollte sich jemand die Mühe machen, Türschlüssel schrumpfen zu lassen?«, fragte George.	[sound:schrumpfen.ogg.mp3]
übrig	left	»Verkaufen ihnen Schlüssel, die zusammenschrumpfen, bis nichts mehr übrig ist, und die Muggel können sie dann nicht mehr finden« Natürlich ist es sehr schwer jemanden dafür ranzukriegen, denn kein Muggel würde zugeben, daß sein Schlüssel schrumpft – sie behaupten andauernd, sie würden sie verlieren.	[sound:übrig.ogg.mp3]
das Gesetz	law	»Nun, Liebling, ich denke, du wirst feststellen, daß er sich damit durchaus im Rahmen des Gesetzes bewegt, selbst wenn, ähm, er vielleicht besser daran getan hätte, seiner, ähm, Frau die Wahrheit zu sagen« es gibt da eine Lücke im Gesetz, wie du sehen wirst« solange er nämlich nicht beabsichtigte, den Wagen zu fliegen, ist die Tatsache, daß der Wagen fliegen könnte, nicht unbedingt «– »Arthur Weasley, du selbst hast dafür gesorgt, daß es eine Lücke gibt, als du dieses Gesetz verfaßt hast«, rief Mrs Weasley, »damit du weiter an diesem ganzen Muggels	[sound:das Gesetz.ogg.mp3]
beabsichtigen	(to) intent	»Nun, Liebling, ich denke, du wirst feststellen, daß er sich damit durchaus im Rahmen des Gesetzes bewegt, selbst wenn, ähm, er vielleicht besser daran getan hätte, seiner, ähm, Frau die Wahrheit zu sagen« es gibt da eine Lücke im Gesetz, wie du sehen wirst« solange er nämlich nicht beabsichtigte, den Wagen zu fliegen, ist die Tatsache, daß der Wagen fliegen könnte, nicht unbedingt «– »Arthur Weasley, du selbst hast dafür gesorgt, daß es eine Lücke gibt, als du dieses Gesetz verfaßt hast«, rief Mrs Weasley, »damit du weiter an diesem ganzen Muggelschrott in deinem Schuppen herumbasteln kannst!	[sound:beabsichtigen.ogg.mp3]
