erbärmlich	wretched	»Erbärmlich«, kommentierte Fred den Wurf.
staubig	dusty	Sein langer grüner Umhang war staubig und verschlissen.
verschlissen	worn out	Sein langer grüner Umhang war staubig und verschlissen.
beißend	biting	»Nichts außer ein paar schrumpfenden Schlüsseln und einem beißenden Kessel«, gähnte Mr Weasley.
zuständig	appropriate	»Außerdem noch einige recht üble Sachen, für die wir allerdings nicht zuständig sind.
das Frettchen	ferret	Mortlake haben sie wegen ein paar äußerst merkwürdiger Frettchen zum Verhör mitgenommen, aber das fällt nicht in meine Abteilung, Gott sei Dank«– »Warum sollte sich jemand die Mühe machen, Türschlüssel schrumpfen zu lassen?«, fragte George.
das Verhör	interrogation	Mortlake haben sie wegen ein paar äußerst merkwürdiger Frettchen zum Verhör mitgenommen, aber das fällt nicht in meine Abteilung, Gott sei Dank«– »Warum sollte sich jemand die Mühe machen, Türschlüssel schrumpfen zu lassen?«, fragte George.
schrumpfen	shrink	Mortlake haben sie wegen ein paar äußerst merkwürdiger Frettchen zum Verhör mitgenommen, aber das fällt nicht in meine Abteilung, Gott sei Dank«– »Warum sollte sich jemand die Mühe machen, Türschlüssel schrumpfen zu lassen?«, fragte George.
übrig	left	»Verkaufen ihnen Schlüssel, die zusammenschrumpfen, bis nichts mehr übrig ist, und die Muggel können sie dann nicht mehr finden« Natürlich ist es sehr schwer jemanden dafür ranzukriegen, denn kein Muggel würde zugeben, daß sein Schlüssel schrumpft – sie behaupten andauernd, sie würden sie verlieren.
das Gesetz	law	»Nun, Liebling, ich denke, du wirst feststellen, daß er sich damit durchaus im Rahmen des Gesetzes bewegt, selbst wenn, ähm, er vielleicht besser daran getan hätte, seiner, ähm, Frau die Wahrheit zu sagen« es gibt da eine Lücke im Gesetz, wie du sehen wirst« solange er nämlich nicht beabsichtigte, den Wagen zu fliegen, ist die Tatsache, daß der Wagen fliegen könnte, nicht unbedingt «– »Arthur Weasley, du selbst hast dafür gesorgt, daß es eine Lücke gibt, als du dieses Gesetz verfaßt hast«, rief Mrs Weasley, »damit du weiter an diesem ganzen Muggels
beabsichtigen	(to) intent	»Nun, Liebling, ich denke, du wirst feststellen, daß er sich damit durchaus im Rahmen des Gesetzes bewegt, selbst wenn, ähm, er vielleicht besser daran getan hätte, seiner, ähm, Frau die Wahrheit zu sagen« es gibt da eine Lücke im Gesetz, wie du sehen wirst« solange er nämlich nicht beabsichtigte, den Wagen zu fliegen, ist die Tatsache, daß der Wagen fliegen könnte, nicht unbedingt «– »Arthur Weasley, du selbst hast dafür gesorgt, daß es eine Lücke gibt, als du dieses Gesetz verfaßt hast«, rief Mrs Weasley, »damit du weiter an diesem ganzen Muggelschrott in deinem Schuppen herumbasteln kannst!
die Lücke	gap	»Nun, Liebling, ich denke, du wirst feststellen, daß er sich damit durchaus im Rahmen des Gesetzes bewegt, selbst wenn, ähm, er vielleicht besser daran getan hätte, seiner, ähm, Frau die Wahrheit zu sagen« es gibt da eine Lücke im Gesetz, wie du sehen wirst« solange er nämlich nicht beabsichtigte, den Wagen zu fliegen, ist die Tatsache, daß der Wagen fliegen könnte, nicht unbedingt «– »Arthur Weasley, du selbst hast dafür gesorgt, daß es eine Lücke gibt, als du dieses Gesetz verfaßt hast«, rief Mrs Weasley, »damit du weiter an diesem ganzen Muggelschrott in deinem Schuppen herumbasteln kannst!
der Schuppen	shelter	selbst wenn, ähm, er vielleicht besser daran getan hätte, seiner, ähm, Frau die Wahrheit zu sagen« es gibt da eine Lücke im Gesetz, wie du sehen wirst« solange er nämlich nicht beabsichtigte, den Wagen zu fliegen, ist die Tatsache, daß der Wagen fliegen könnte, nicht unbedingt «– »Arthur Weasley, du selbst hast dafür gesorgt, daß es eine Lücke gibt, als du dieses Gesetz verfaßt hast«, rief Mrs Weasley, »damit du weiter an diesem ganzen Muggelschrott in deinem Schuppen herumbasteln kannst!
schief	leaning	Sie schlichen sich aus der Küche und gingen einen engen Gang entlang zu einer schiefen Treppe, die sich zickzackförmig durch das Haus emporwand.
plappern	chatter	»Ginny«, sagte Ron, »du weißt ja nicht, wie komisch es ist, daß sie so scheu ist, normalerweise hört sie nicht auf zu plappern «– Sie stiegen noch zwei Stockwerke hoch und standen nun vor einer Tür.
der Hochofen	blast furnace	Es war, als ob er in einen Hochofen geraten wäre: Fast alles in Rons Zimmer glühte orangerot; die Bettdecke, die Wände, sogar die Decke.
der Stoß	pile	Rons Zauberspruchbücher für die Schule waren achtlos in einer Ecke gestapelt, daneben ein Stoß Comic-Hefte, alle offenbar Abenteuer von Martin Miggs, dem mickrigen Muggel.
mickerig	measly	Rons Zauberspruchbücher für die Schule waren achtlos in einer Ecke gestapelt, daneben ein Stoß Comic-Hefte, alle offenbar Abenteuer von Martin Miggs, dem mickrigen Muggel.
die Schar	flock	Weit unten auf dem Feld konnte er eine Schar Gnomen erkennen, die durch die Hecke der Weasleys zurückschlichen.
das Urteil	opinion	Er wandte sich um und sah, daß Ron ihn etwas nervös beobachtete, als ob er auf sein Urteil wartete.
